Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
KD59G00164,application-v0.0.0.107.srec,4.86903,-,'BG95M3LAR02A03_0,'864351059222101,'89460800235135992018,-,-,7.17129,24.2662,,PASS,2022.04.01 16:49:38,SST Denali Nextgen#1,36027,2022.04.01 16:47:59,2022.04.01 16:49:38,'00:01:39,'3,-,OK,OK,OK,4,332,25.5,59.6,OK,-,-,-,-,-,-,'0001070000,
KD59G002J4,application-v0.0.0.107.srec,4.86928,-,'BG95M3LAR02A03_0,'864351059221897,'89460800235135992307,-,-,7.22413,24.7825,,PASS,2022.04.01 16:18:03,SST Denali Nextgen#1,36027,2022.04.01 16:16:24,2022.04.01 16:18:03,'00:01:39,'3,-,OK,OK,OK,4,163,25.33,59.2,OK,-,-,-,-,-,-,'0001070000,
KD59G001M4,application-v0.0.0.107.srec,4.86911,-,'BG95M3LAR02A03_0,'864593055262405,'89460800235135992372,-,-,7.16957,23.822,,PASS,2022.04.01 16:13:49,SST Denali Nextgen#1,36027,2022.04.01 16:12:09,2022.04.01 16:13:49,'00:01:40,'3,-,OK,OK,OK,4,163,25.33,59.7,OK,-,-,-,-,-,-,'0001070000,
KD59G000W4,application-v0.0.0.107.srec,4.86916,-,'BG95M3LAR02A03_0,'864593055295801,'89460800235135992000,-,-,7.1375,24.4626,,PASS,2022.04.01 15:46:04,SST Denali Nextgen#1,36027,2022.04.01 15:44:24,2022.04.01 15:46:04,'00:01:40,'3,-,OK,OK,OK,4,190,25.33,59.8,OK,-,-,-,-,-,-,'0001070000,
KD59G002R4,application-v0.0.0.107.srec,4.86913,-,'BG95M3LAR02A03_0,'864351059222481,'89460800235135993040,-,-,7.25177,25.4684,,PASS,2022.04.01 16:29:46,SST Denali Nextgen#1,36027,2022.04.01 16:28:06,2022.04.01 16:29:46,'00:01:40,'3,-,OK,OK,OK,4,400,25.44,59.2,OK,-,-,-,-,-,-,'0001070000,
KD59G001A4,application-v0.0.0.107.srec,4.86917,-,'BG95M3LAR02A03_0,'864351059222994,'89460800235135992588,-,-,7.29497,24.9216,,PASS,2022.04.01 15:42:52,SST Denali Nextgen#1,36027,2022.04.01 15:41:14,2022.04.01 15:42:52,'00:01:38,'3,-,OK,OK,OK,4,195,25.5,58.8,OK,-,-,-,-,-,-,'0001070000,
KD59G001K4,application-v0.0.0.107.srec,4.86915,-,'BG95M3LAR02A03_0,'864351059222549,'89460800235135992596,-,-,7.26301,25.5079,,PASS,2022.04.01 16:47:46,SST Denali Nextgen#1,36027,2022.04.01 16:46:06,2022.04.01 16:47:46,'00:01:40,'3,-,OK,OK,OK,4,244,25.39,60.3,OK,-,-,-,-,-,-,'0001070000,
KD59G00184,application-v0.0.0.107.srec,4.86914,-,'BG95M3LAR02A03_0,'864351059223729,'89460800235135992273,-,-,7.13652,26.6052,,PASS,2022.04.01 15:48:14,SST Denali Nextgen#1,36027,2022.04.01 15:46:34,2022.04.01 15:48:14,'00:01:40,'3,-,OK,OK,OK,4,186,25.33,59.6,OK,-,-,-,-,-,-,'0001070000,
KD59G000P4,application-v0.0.0.107.srec,4.86915,-,'BG95M3LAR02A03_0,'864351059222143,'89460800235135992380,-,-,7.22459,24.7649,,PASS,2022.04.01 16:16:03,SST Denali Nextgen#1,36027,2022.04.01 16:14:25,2022.04.01 16:16:03,'00:01:38,'3,-,OK,OK,OK,4,188,25.28,59.6,OK,-,-,-,-,-,-,'0001070000,
KD59G00354,application-v0.0.0.107.srec,4.86911,-,'BG95M3LAR02A03_0,'864593055295033,'89460800235135992315,-,-,7.12663,25.6585,,PASS,2022.04.01 16:00:53,SST Denali Nextgen#1,36027,2022.04.01 15:59:14,2022.04.01 16:00:53,'00:01:39,'3,-,OK,OK,OK,4,206,25.33,59.6,OK,-,-,-,-,-,-,'0001070000,
