Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Accelerometer,NFC_ID_Test,Measure_Pressure_Sensor,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
JEE9B00124,Denali_v0100000002.mot 2F1607E1,4.844,52.357,'BG96MAR02A07M1G,'860640052460179,'89460800231121177128,9.53,32.7683123,6.726,30.224,-,PASS,2021.05.12 13:46:06,SST Denali#1(TEST HEAD 1),'5210325006476,36254,2021.05.12 13:38:21,2021.05.12 13:46:06,'00:07:45,'OK,E0022500E3FD3B0A,4112046,'0000000007,3.677,OK,OK,OK,3,136,24.83,66.89,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B004Q4,Denali_v0100000002.mot 2F1607E1,4.853,53.112,'BG96MAR02A07M1G,'860640052460740,'89460800231121178787,3.17,32.7681039,6.875,26.653,-,PASS,2021.05.12 22:37:48,SST Denali#1(TEST HEAD 1),'5210325005879,71064,2021.05.12 22:31:28,2021.05.12 22:37:48,'00:06:20,'OK,E0022500E41272B9,4118525,'0000000007,3.682,OK,OK,OK,3,132,24.77,69.51,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00304,Denali_v0100000002.mot 2F1607E1,4.852,52.466,'BG96MAR02A07M1G,'860640052459726,'89460800231121181930,7.99,32.7682619,6.788,30.121,-,PASS,2021.05.12 19:37:09,SST Denali#1(TEST HEAD 4),'5210325005946,36254,2021.05.12 19:31:26,2021.05.12 19:37:09,'00:05:43,'OK,E0022500E415B3E6,4106098,'0000000007,3.673,OK,OK,OK,4,172,25.46,65.99,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00BC4,Denali_v0100000002.mot 2F1607E1,4.867,51.912,'BG96MAR02A07M1G,'860640052387588,'89460800231121178704,2.22,32.7680728,6.889,23.237,-,PASS,2021.05.12 12:51:11,SST Denali#1(TEST HEAD 2),'5210325006012,36254,2021.05.12 12:46:07,2021.05.12 12:51:11,'00:05:04,'OK,E0022500E409C37C,4117455,'0000000007,3.654,OK,OK,OK,4,125,24.50,67.57,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B005P4,Denali_v0100000002.mot 2F1607E1,4.866,52.900,'BG96MAR02A07M1G,'860640052460138,'89460800231121179926,4.51,32.7681478,6.557,34.520,-,PASS,2021.05.12 16:16:44,SST Denali#1(TEST HEAD 2),'5210325006029,36254,2021.05.12 16:09:45,2021.05.12 16:16:44,'00:06:59,'OK,E0022500E3FBBA14,4105721,'0000000007,3.689,OK,OK,OK,5,127,25.76,65.61,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00994,Denali_v0100000002.mot 2F1607E1,4.866,53.970,'BG96MAR02A07M1G,'860640052440965,'89460800231121176799,1.19,32.7680390,6.770,26.343,-,PASS,2021.05.12 18:22:30,SST Denali#1(TEST HEAD 2),'5210325006089,36254,2021.05.12 18:14:44,2021.05.12 18:22:30,'00:07:46,'OK,E0022500E4237EEB,4105623,'0000000007,3.670,OK,OK,OK,4,116,24.99,66.66,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B002N4,Denali_v0100000002.mot 2F1607E1,4.866,53.346,'BG96MAR02A07M1G,'860640052379700,'89460800231121175874,4.99,32.7681635,6.882,29.655,-,PASS,2021.05.12 21:55:01,SST Denali#1(TEST HEAD 2),'5210325006354,71064,2021.05.12 21:47:54,2021.05.12 21:55:01,'00:07:07,'OK,E0022500E41FAF7D,4115963,'0000000007,3.666,OK,OK,OK,4,124,25.19,70.17,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00A04,Denali_v0100000002.mot 2F1607E1,4.847,54.532,'BG96MAR02A07M1G,'860640052363993,'89460800231121175528,2.16,32.7680707,7.357,30.742,-,PASS,2021.05.12 10:25:33,SST Denali#1(TEST HEAD 1),'5210325006385,36254,2021.05.12 10:21:22,2021.05.12 10:25:33,'00:04:11,'OK,E0022500E4066391,4126444,'0000000007,3.689,OK,OK,OK,4,144,24.68,69.84,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B001V4,Denali_v0100000002.mot 2F1607E1,4.851,52.851,'BG96MAR02A07M1G,'860640052365956,'89460800231121180437,5.38,32.7681762,6.683,26.136,-,PASS,2021.05.12 10:20:06,SST Denali#1(TEST HEAD 1),'5210325006655,36254,2021.05.12 10:14:33,2021.05.12 10:20:06,'00:05:33,'OK,E0022500E41F3B73,4127775,'0000000007,3.662,OK,OK,OK,4,139,24.53,69.92,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B000C4,Denali_v0100000002.mot 2F1607E1,4.866,52.777,'BG96MAR02A07M1G,'860640052365972,'89460800231121177045,3.05,32.7681001,6.831,29.810,-,PASS,2021.05.12 13:26:43,SST Denali#1(TEST HEAD 2),'5210325006662,36254,2021.05.12 13:19:04,2021.05.12 13:26:43,'00:07:39,'OK,E0022500E4235C12,4114433,'0000000007,3.680,OK,OK,OK,5,131,24.90,68.54,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
