Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Accelerometer,NFC_ID_Test,Measure_Pressure_Sensor,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
JEG9B00364,Denali_v0100000002.mot 2F1607E1,4.852,52.980,'BG96MAR02A07M1G,'860640052462530,'89460800231121436615,3.67,32.7681201,6.818,25.877,-,PASS,2021.05.13 02:07:52,SST Denali#1(TEST HEAD 4),'5210325005445,71064,2021.05.13 01:59:46,2021.05.13 02:07:52,'00:08:06,'OK,E00225018B6D21FE,4114893,'0000000007,3.659,OK,OK,OK,2,166,26.06,69.97,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005A4,Denali_v0100000002.mot 2F1607E1,4.852,52.701,'BG96MAR02A07M1G,'860640052460419,'89460800231121182581,6.91,32.7682264,6.851,30.121,-,PASS,2021.05.13 00:40:44,SST Denali#1(TEST HEAD 1),'5210325006052,71064,2021.05.13 00:32:35,2021.05.13 00:40:44,'00:08:09,'OK,E0022500E406827C,4117208,'0000000007,3.667,OK,OK,OK,2,142,25.10,73.87,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B004P4,Denali_v0100000002.mot 2F1607E1,4.852,53.182,'BG96MAR02A07M1G,'860640052394410,'89460800231121180189,20.38,32.7686679,6.218,33.122,-,PASS,2021.05.13 01:03:02,SST Denali#1(TEST HEAD 3),'5210325006010,71064,2021.05.13 00:56:30,2021.05.13 01:03:02,'00:06:32,'OK,E0022500E409BB20,4116209,'0000000007,3.662,OK,OK,OK,2,117,25.50,68.80,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B006S4,Denali_v0100000002.mot 2F1607E1,4.852,51.732,'BG96MAR02A07M1G,'860640052367606,'89460800231121175809,26.68,32.7688743,6.840,32.553,-,PASS,2021.05.13 00:05:50,SST Denali#1(TEST HEAD 4),'5210325006070,71064,2021.05.12 23:59:48,2021.05.13 00:05:50,'00:06:02,'OK,E0022500E4090A16,4117615,'0000000007,3.673,OK,OK,OK,2,175,25.18,69.11,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B006M4,Denali_v0100000002.mot 2F1607E1,4.848,52.433,'BG96MAR02A07M1G,'860640052462217,'89460800231121185360,17.19,32.7685633,6.805,31.363,-,PASS,2021.05.12 10:53:09,SST Denali#1(TEST HEAD 1),'5210325006162,36254,2021.05.12 10:46:01,2021.05.12 10:53:09,'00:07:08,'OK,E0022500E3FE4E43,4124326,'0000000007,3.654,OK,OK,OK,3,132,24.75,71.18,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B006Z4,Denali_v0100000002.mot 2F1607E1,4.853,53.343,'BG96MAR02A07M1G,'860640052462027,'89460800231121176112,30.96,32.7690146,6.982,25.618,-,PASS,2021.05.12 22:50:10,SST Denali#1(TEST HEAD 1),'5210325006220,71064,2021.05.12 22:44:50,2021.05.12 22:50:10,'00:05:20,'OK,E0022500E415A162,4119748,'0000000007,3.674,OK,OK,OK,3,142,25.01,71.48,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B003K4,Denali_v0100000002.mot 2F1607E1,4.853,51.768,'BG96MAR02A07M1G,'860640052384403,'89460800231121436474,17.26,32.7685657,6.985,26.032,-,PASS,2021.05.13 02:06:56,SST Denali#1(TEST HEAD 1),'5210325005691,71064,2021.05.13 02:00:07,2021.05.13 02:06:56,'00:06:49,'OK,E00225018B6D2578,4113927,'0000000007,3.680,OK,OK,OK,1,130,25.46,71.77,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B003Q4,Denali_v0100000002.mot 2F1607E1,4.852,52.872,'BG96MAR02A07M1G,'860640052407493,'89460800231121438371,35.53,32.7691642,7.116,29.034,-,PASS,2021.05.13 01:58:20,SST Denali#1(TEST HEAD 3),'5210325005616,71064,2021.05.13 01:50:59,2021.05.13 01:58:20,'00:07:21,'OK,E00225018B6909A5,4114386,'0000000007,3.688,OK,OK,OK,1,115,25.52,73.64,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B003G4,Denali_v0100000002.mot 2F1607E1,4.866,51.995,'BG96MAR02A07M1G,'860640052371004,'89460800231121439122,37.10,32.7692158,6.825,26.964,-,PASS,2021.05.13 01:58:20,SST Denali#1(TEST HEAD 2),'5210325005493,71064,2021.05.13 01:50:49,2021.05.13 01:58:20,'00:07:31,'OK,E00225018B6C2F25,4115609,'0000000007,3.681,OK,OK,OK,1,120,25.63,73.17,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B003N4,Denali_v0100000002.mot 2F1607E1,4.853,51.386,'BG96MAR02A07M1G,'860640052362995,'89460800231121435807,29.87,32.7689789,6.891,24.272,-,PASS,2021.05.13 01:57:26,SST Denali#1(TEST HEAD 1),'5210325005478,71064,2021.05.13 01:50:41,2021.05.13 01:57:26,'00:06:45,'OK,E00225018B6CD089,4113233,'0000000007,3.676,OK,OK,OK,1,136,25.27,74.26,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00374,Denali_v0100000002.mot 2F1607E1,4.852,50.939,'BG96MAR02A07M1G,'860640052362516,'89460800231121436698,10.86,32.7683558,6.748,27.688,-,PASS,2021.05.13 02:07:52,SST Denali#1(TEST HEAD 3),'5210325005477,71064,2021.05.13 02:00:01,2021.05.13 02:07:52,'00:07:51,'OK,E00225018B6D91B2,4115680,'0000000007,3.668,OK,OK,OK,1,111,25.54,71.18,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B003E4,Denali_v0100000002.mot 2F1607E1,4.852,52.934,'BG96MAR02A07M1G,'860640052388743,'89460800231121437167,24.98,32.7688184,6.934,31.104,-,PASS,2021.05.13 01:58:42,SST Denali#1(TEST HEAD 4),'5210325005624,71064,2021.05.13 01:51:06,2021.05.13 01:58:42,'00:07:36,'OK,E00225018B6D9E30,4115965,'0000000007,3.671,OK,OK,OK,2,173,25.86,71.99,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B003Y4,Denali_v0100000002.mot 2F1607E1,4.850,53.892,'BG96MAR02A07M1G,'860640052460070,'89460800231121182193,12.99,32.7684258,7.066,27.067,-,PASS,2021.05.13 08:17:42,SST Denali#1(TEST HEAD 3),'5210325006419,81087,2021.05.13 08:11:59,2021.05.13 08:17:42,'00:05:43,'OK,E0022500E41CB72D,4122332,'0000000007,3.680,OK,OK,OK,5,132,24.10,77.16,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005Q4,Denali_v0100000002.mot 2F1607E1,4.866,53.466,'BG96MAR02A07M1G,'860640052338144,'89460800231121177995,30.96,32.7690145,6.878,28.620,-,PASS,2021.05.13 00:40:45,SST Denali#1(TEST HEAD 2),'5210325006548,71064,2021.05.13 00:32:33,2021.05.13 00:40:45,'00:08:12,'OK,E0022500E3FB34DD,4118223,'0000000007,3.690,OK,OK,OK,2,120,25.44,72.02,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005K4,Denali_v0100000002.mot 2F1607E1,4.867,51.898,'BG96MAR02A07M1G,'860640052365691,'89460800231121177003,24.67,32.7688084,6.821,26.498,-,PASS,2021.05.12 15:38:22,SST Denali#1(TEST HEAD 2),'5210325006657,36254,2021.05.12 15:31:12,2021.05.12 15:38:22,'00:07:10,'OK,E0022500E41F4255,4106531,'0000000007,3.649,OK,OK,OK,5,126,25.61,64.63,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00444,Denali_v0100000002.mot 2F1607E1,4.852,51.784,'BG96MAR02A07M1G,'860640052366160,'89460800231121182847,27.80,32.7689110,6.780,24.790,-,PASS,2021.05.13 01:33:46,SST Denali#1(TEST HEAD 3),'5210325006667,71064,2021.05.13 01:26:39,2021.05.13 01:33:46,'00:07:07,'OK,E0022500E4232BCC,4117121,'0000000007,3.680,OK,OK,OK,3,120,25.62,69.47,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00704,Denali_v0100000002.mot 2F1607E1,4.866,52.720,'BG96MAR02A07M1G,'860640052366566,'89460800231121182920,37.45,32.7692271,6.955,29.603,-,PASS,2021.05.12 23:52:34,SST Denali#1(TEST HEAD 2),'5210325006678,71064,2021.05.12 23:45:29,2021.05.12 23:52:34,'00:07:05,'OK,E0022500E41CDFC8,4119439,'0000000007,3.674,OK,OK,OK,2,121,24.98,70.35,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B001T4,Denali_v0100000002.mot 2F1607E1,4.851,53.867,'BG96MAR02A07M1G,'860640052462324,'89460800231121177508,20.78,32.7686808,6.936,29.655,-,PASS,2021.05.12 18:57:20,SST Denali#1(TEST HEAD 3),'5210325005917,36254,2021.05.12 18:51:34,2021.05.12 18:57:20,'00:05:46,'OK,E0022500E3FC3D92,4105154,'0000000007,3.680,OK,OK,OK,4,120,25.22,69.42,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00324,Denali_v0100000002.mot 2F1607E1,4.866,51.970,'BG96MAR02A07M1G,'860640052460963,'89460800231121435468,30.31,32.7689933,6.827,23.289,-,PASS,2021.05.13 02:07:23,SST Denali#1(TEST HEAD 2),'5210325005463,71064,2021.05.13 02:00:01,2021.05.13 02:07:23,'00:07:22,'OK,E00225018B6DE894,4114933,'0000000007,3.678,OK,OK,OK,2,117,25.64,71.09,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B001H4,Denali_v0100000002.mot 2F1607E1,4.866,52.759,'BG96MAR02A07M1G,'860640052462241,'89460800231121185402,18.57,32.7686084,6.848,31.466,-,PASS,2021.05.12 23:37:13,SST Denali#1(TEST HEAD 2),'5210325006163,71064,2021.05.12 23:29:44,2021.05.12 23:37:13,'00:07:29,'OK,E0022500E3FE4C7E,4118328,'0000000007,3.690,OK,OK,OK,2,118,25.01,73.16,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B001D4,Denali_v0100000002.mot 2F1607E1,4.851,52.996,'BG96MAR02A07M1G,'860640052441161,'89460800231121184975,23.74,32.7687780,6.994,34.934,-,PASS,2021.05.12 23:37:18,SST Denali#1(TEST HEAD 3),'5210325006104,71064,2021.05.12 23:29:40,2021.05.12 23:37:18,'00:07:38,'OK,E0022500E41F5BD5,4119554,'0000000007,3.689,OK,OK,OK,2,118,25.06,73.62,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B001F4,Denali_v0100000002.mot 2F1607E1,4.852,51.754,'BG96MAR02A07M1G,'860640052362128,'89460800231121182524,19.41,32.7686360,6.869,30.690,-,PASS,2021.05.12 23:36:31,SST Denali#1(TEST HEAD 1),'5210325006427,71064,2021.05.12 23:30:12,2021.05.12 23:36:31,'00:06:19,'OK,E0022500E41CAC90,4119441,'0000000007,3.664,OK,OK,OK,1,129,24.83,73.76,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
